step,quick_return,std,collapses
100000,-1451.6363801249793,58.17812374259331,0
200000,-563.2324510538436,36.206765070044916,0
300000,-127.28768703296406,6.933072761247178,0
400000,-115.71693583807213,5.96998020356408,0
500000,-114.05398684034755,6.043641123097505,0
600000,-112.62319176247364,6.091438308460877,0
700000,-111.9716510627379,6.143095999794063,0
800000,-110.98490958591906,6.176480620464685,0
900000,-110.43280668298144,6.153203504082142,0
1000000,-110.10192490747181,6.15991020780953,0
