step,quick_return,std,collapses
100000,-325.9518248604834,9.999748079538435,0
200000,-120.21194096987459,5.899493078420954,0
300000,-120.32536683295855,6.009126919802614,0
400000,-128.4951406847422,5.831171505712504,0
500000,-116.04027946939807,6.330902490538712,0
600000,-116.14892418200361,6.225457848384989,0
700000,-120.94677708749727,6.478945572455509,0
800000,-117.37001119600843,6.321410464413238,0
900000,-120.23962414658412,6.404462953515592,0
1000000,-47.03866813822276,16.54807640596147,0
